iter	Passed	Remaining
609	157424	49033
610	157665	48770
611	157900	48505
612	158158	48247
613	158408	47986
614	158639	47720
615	158870	47454
616	159090	47185
617	159305	46915
618	159567	46658
619	159858	46410
620	160107	46150
621	160354	45889
622	160606	45629
623	160848	45367
624	161083	45103
625	161330	44842
626	161543	44572
627	161790	44312
628	162012	44044
629	162242	43779
630	162479	43516
631	162733	43258
632	162976	42997
633	163241	42741
634	163494	42482
635	163741	42222
636	163972	41958
637	164207	41695
638	164468	41438
639	164712	41178
640	164952	40916
641	165198	40656
642	165433	40393
643	165653	40127
644	165872	39860
645	166121	39601
646	166358	39339
647	166561	39070
648	166800	38808
649	167044	38548
650	167285	38288
651	167519	38025
652	167743	37761
653	167971	37498
654	168213	37238
655	168444	36975
656	168682	36714
657	168930	36456
658	169146	36190
659	169377	35928
660	169615	35667
661	169860	35408
662	170095	35148
663	170334	34887
664	170561	34625
665	170804	34366
666	171046	34106
667	171263	33842
668	171489	33580
669	171745	33323
670	171974	33062
671	172201	32800
672	172432	32539
673	172656	32276
674	172891	32016
675	173111	31754
676	173370	31498
677	173609	31239
678	173848	30980
679	174079	30719
680	174339	30464
681	174578	30205
682	174810	29945
683	175077	29691
684	175302	29430
685	175575	29177
686	175799	28916
687	176019	28654
688	176257	28395
689	176546	28145
690	176785	27886
691	177025	27628
692	177263	27369
693	177501	27111
694	177738	26852
695	177965	26592
696	178197	26333
697	178432	26074
698	178655	25814
699	178866	25552
700	179097	25293
701	179316	25032
702	179545	24773
703	179786	24516
704	180013	24257
705	180271	24002
706	180506	23744
707	180735	23485
708	180972	23227
709	181183	22966
710	181417	22709
711	181668	22453
712	181913	22196
713	182127	21936
714	182365	21679
715	182583	21420
716	182819	21163
717	183073	20908
718	183306	20650
719	183537	20393
720	183763	20134
721	183991	19877
722	184226	19620
723	184485	19365
724	184720	19109
725	184961	18852
726	185234	18599
727	185473	18343
728	185699	18085
729	185947	17830
730	186200	17575
731	186407	17316
732	186663	17061
733	186926	16808
734	187189	16554
735	187416	16297
736	187636	16039
737	187853	15781
738	188074	15524
739	188293	15267
740	188538	15011
741	188784	14756
742	189029	14501
743	189269	14246
744	189551	13993
745	189770	13736
746	189997	13480
747	190234	13224
748	190468	12969
749	190717	12714
750	190943	12458
751	191177	12202
752	191406	11947
753	191637	11691
754	191904	11438
755	192143	11182
756	192378	10927
757	192587	10671
758	192822	10415
759	193089	10162
760	193324	9907
761	193551	9652
762	193796	9397
763	194040	9143
764	194268	8888
765	194517	8633
766	194736	8378
767	194984	8124
768	195200	7868
769	195424	7613
770	195646	7358
771	195888	7104
772	196088	6849
773	196359	6596
774	196588	6341
775	196832	6087
776	197055	5833
777	197288	5578
778	197513	5324
779	197740	5070
780	197991	4816
781	198212	4562
782	198439	4308
783	198674	4054
784	198908	3800
